Unnamed: 0,Направление,Дата создания,Текст,appeal_id,raw_text,clean_text,text_tokens,text_lemmatized_tokens,text_lem,text_length,emotion_score,urgency_flag,date_norm,address_norm,category_norm,source_text_column,source_date_column,source_address_column,source_category_column
0,Благоустройство,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься...<br>Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!",appeal_000000,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься...<br>Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!","Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!","['судя', 'состоянию', 'дворов', 'центрального', 'района', 'все', 'уехали', 'донбасс', 'благоустройством', 'заниматься', 'вот', 'они', 'обрадуются', 'когда', 'узнают', 'какого', 'состояния', 'свои', 'дворы', 'довели', 'прежде', 'чем', 'своей', 'помощью', 'приехать', 'вас', 'поганой', 'метлой', 'погонят']","['судить', 'состояние', 'двор', 'центральный', 'уехать', 'донбасс', 'благоустройство', 'заниматься', 'они', 'обрадоваться', 'узнавать', 'какой', 'состояние', 'свой', 'двор', 'довести', 'прежде', 'чем', 'свой', 'помощь', 'приехать', 'поганый', 'метла', 'погнать']",судить состояние двор центральный уехать донбасс благоустройство заниматься они обрадоваться узнавать какой состояние свой двор довести прежде чем свой помощь приехать поганый метла погнать,242,0.1,False,2022-02-23,,Благоустройство,Текст,Дата создания,,Направление
1,Благоустройство,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡",appeal_000001,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡","А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3","['вот', 'дворе', 'нашего', 'дома', 'убирали', 'снег', 'разу', 'энгельса', '126', 'корпус', '3']","['двор', 'наш', 'дом', 'убирать', 'снег', 'раз', 'энгельс', '126', 'корпус']",двор наш дом убирать снег раз энгельс 126 корпус,73,0.0,False,2022-02-23,Энгельса 126 корпус 3,Благоустройство,Текст,Дата создания,,Направление
2,Благоустройство,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда ещё писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать...",appeal_000002,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда ещё писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать...","Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда еще писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать...","['неужели', 'будет', 'порядка', 'воду', 'откачали', 'она', 'собирается', 'снова', 'никуда', 'уходит', 'куда', 'еще', 'писать', 'прокуратуру', 'бездействие', 'всех', 'веток', 'власти', 'как', 'говорится', 'сравните', 'было', 'стало', 'есть', 'даже', 'губернатор', 'ничего', 'может', 'сделать']","['неужели', 'порядок', 'вода', 'откачать', 'собираться', 'снова', 'никуда', 'уходить', 'куда', 'писать', 'прокуратура', 'бездействие', 'весь', 'ветка', 'власть', 'говориться', 'сравнить', 'стать', 'есть', 'губернатор', 'ничего', 'мочь', 'сделать']",неужели порядок вода откачать собираться снова никуда уходить куда писать прокуратура бездействие весь ветка власть говориться сравнить стать есть губернатор ничего мочь сделать,237,0.2,False,2022-02-23,,Благоустройство,Текст,Дата создания,,Направление
3,Благоустройство,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.",appeal_000003,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.","Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.","['елизарова', '31', '3', '35', '37', 'вообще', 'ничего', 'убирается', 'один', 'сплошной', 'лед', 'лужи', 'машине', 'проехать', 'даже', 'что', 'пешком', 'пройти', 'всю', 'зиму', '2', 'раза', 'трактор', 'проходил']","['елизаров', 'вообще', 'ничего', 'убираться', 'один', 'сплошной', 'лёд', 'лужа', 'машина', 'проехать', 'пешком', 'пройти', 'весь', 'зима', 'раз', 'трактор', 'проходить']",елизаров вообще ничего убираться один сплошной лёд лужа машина проехать пешком пройти весь зима раз трактор проходить,166,0.0,False,2022-02-23,Елизарова 31,Благоустройство,Текст,Дата создания,,Направление
4,Благоустройство,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу",appeal_000004,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу","Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу","['добрый', 'день', 'дворе', 'дома', 'улице', 'евдокима', 'огнева', '22', 'огромная', 'колейность', 'людям', 'машинам', 'тяжело', 'идти', 'проезжать', 'голый', 'лед', 'которому', 'невозможно', 'ходить', 'прошу', 'принять', 'меры', 'этому', 'вопросу']","['двор', 'дом', 'улица', 'евдоким', 'огнев', 'огромный', 'колейность', 'человек', 'машина', 'тяжело', 'идти', 'проезжать', 'голый', 'лёд', 'который', 'невозможно', 'ходить', 'принять']",двор дом улица евдоким огнев огромный колейность человек машина тяжело идти проезжать голый лёд который невозможно ходить принять,193,0.3,False,2022-02-23,улице Евдокима Огнева 22,Благоустройство,Текст,Дата создания,,Направление
5,Благоустройство,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет",appeal_000005,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет","Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет","['здравствуйте', 'извините', 'беспокойство', 'звонил', 'много', 'раз', 'телефону', '004', 'жаловался', 'отвратительную', 'уборку', 'снега', 'дворе', 'улице', 'кржижановского', '5', '4', 'начал', 'жаловаться', 'давно-', 'реакций', 'никаких', 'нет', 'одной', 'последних', 'была', 'подмена', 'адреса', 'убрали', 'другой', 'который', 'тоже', 'конечно', 'нуждался', 'очищении', 'калии', 'льда', 'сих', 'пор', 'никаких', 'реакций', 'нет']","['извинить', 'беспокойство', 'звонить', 'много', 'раз', 'телефон', '004', 'жаловаться', 'отвратительный', 'уборка', 'снег', 'двор', 'улица', 'кржижановский', 'начать', 'жаловаться', 'давно-', 'реакция', 'никакой', 'один', 'последний', 'подмена', 'адрес', 'убрать', 'другой', 'который', 'тоже', 'конечно', 'нуждаться', 'очищение', 'калия', 'лёд', 'сей', 'пора', 'никакой', 'реакция']",извинить беспокойство звонить много раз телефон 004 жаловаться отвратительный уборка снег двор улица кржижановский начать жаловаться давно- реакция никакой один последний подмена адрес убрать другой который тоже конечно нуждаться очищение калия лёд сей пора никакой реакция,348,0.0,False,2022-02-23,раз по телефону 004,Благоустройство,Текст,Дата создания,,Направление
6,Благоустройство,2022-02-23,"[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️",appeal_000006,"[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️","club82032767 Невский район Санкт-Петербурга как людям пробираться к своим подъездам Кто контролирует работу, за что люди платят, дворники перестали существовать","['club', '82032767', 'невский', 'район', 'санкт-петербурга', 'как', 'людям', 'пробираться', 'своим', 'подъездам', 'кто', 'контролирует', 'работу', 'что', 'люди', 'платят', 'дворники', 'перестали', 'существовать']","['club', '82032767', 'невский', 'санкт-петербург', 'человек', 'пробираться', 'свой', 'подъезд', 'кто', 'контролировать', 'работа', 'человек', 'платить', 'дворник', 'перестать', 'существовать']",club 82032767 невский санкт-петербург человек пробираться свой подъезд кто контролировать работа человек платить дворник перестать существовать,160,0.0,False,2022-02-23,,Благоустройство,Текст,Дата создания,,Направление
7,Благоустройство,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",appeal_000007,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","['здравствуйте', 'когда', 'начнут', 'убирать', 'дворы', 'машинам', 'проехать', 'застревают', 'заносит', 'люди', 'идут', 'падают', 'все', 'буграх', 'ледяных', 'дороге', 'возле', 'дома', 'страшная', 'колея', 'почему', 'такое', 'наплевательское', 'отношение', 'этом', 'году', 'уборке', 'всего', 'города', 'дворов', 'целом', 'улицы', 'убрали', 'снаружи', 'дворов', 'внутри', 'ужас', 'что', 'творится', 'коммунальщикам', 'плевать', 'одного', 'дворника', 'техники', 'дворе', 'нет', 'прошу', 'решить', 'этот', 'вопрос', 'прилагаю', 'фотографии', 'двора', 'улице', 'шотмана', 'дом', '14']","['начать', 'убирать', 'двор', 'машина', 'проехать', 'застревать', 'заносить', 'человек', 'идти', 'падать', 'бугор', 'ледяной', 'дорога', 'возле', 'дом', 'страшный', 'колея', 'почему', 'такой', 'наплевательский', 'отношение', 'год', 'уборка', 'весь', 'двор', 'целое', 'улица', 'убрать', 'снаружи', 'двор', 'внутри', 'ужас', 'твориться', 'коммунальщик', 'плевать', 'один', 'дворник', 'техника', 'двор', 'решить', 'прилагать', 'фотография', 'двор', 'улица', 'шотман', 'дом']",начать убирать двор машина проехать застревать заносить человек идти падать бугор ледяной дорога возле дом страшный колея почему такой наплевательский отношение год уборка весь двор целое улица убрать снаружи двор внутри ужас твориться коммунальщик плевать один дворник техника двор решить прилагать фотография двор улица шотман дом,440,0.3,False,2022-02-23,улице Шотмана дом 14,Благоустройство,Текст,Дата создания,,Направление
8,Благоустройство,2022-02-23,"Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку",appeal_000008,"Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку","Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а все как было так и осталось Трактор постоял, мото-часы помотал зп же именно за мото-часы платят и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку","['сегодня', 'уже', '23', '02', '2022', 'уборка', 'должна', 'была', 'пройти', '22', '02', '2022', '22', '02', 'прошло', 'все', 'как', 'было', 'так', 'осталось', 'трактор', 'постоял', 'мото-часы', 'помотал', 'именно', 'мото-часы', 'платят', 'этом', 'уборка', 'видимо', 'закончилась', 'видео', 'двор', 'юнтоловский', '53', '1', 'выезд', 'придомовой', 'территории', 'юнтоловский', 'въезд', 'парковку']","['сегодня', '2022', 'уборка', 'должный', 'пройти', '2022', 'пройти', 'остаться', 'трактор', 'постоялый', 'мото-часы', 'помотать', 'именно', 'мото-часы', 'платить', 'уборка', 'видимо', 'закончиться', 'видео', 'двор', 'юнтоловский', 'выезд', 'придомовый', 'территория', 'юнтоловский', 'въезд', 'парковка']",сегодня 2022 уборка должный пройти 2022 пройти остаться трактор постоялый мото-часы помотать именно мото-часы платить уборка видимо закончиться видео двор юнтоловский выезд придомовый территория юнтоловский въезд парковка,314,0.0,False,2022-02-23,Сегодня уже 23,Благоустройство,Текст,Дата создания,,Направление
9,Дороги,2022-02-23,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?",appeal_000009,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?","У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадешь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?","['39', 'авангардная', 'твориться', 'жесть', 'лево', 'пойдешь', 'скользко', 'упадешь', 'право', 'только', 'плавь', 'даже', 'прямо', 'всегда', 'можно', 'пройти', 'газоне', 'паркуют', 'машины', 'гибдд', 'отписывается', 'что', 'это', 'ним', 'администрацию', 'наша', 'любимая', 'администрация', 'говорит', 'что', 'есть', 'специально', 'обученные', 'люди', 'которые', 'ходят', 'фиксируют', 'все', 'нарушения', 'где', 'они', 'где', 'обещанная', 'уборка', 'тел', '004', 'хамят', 'трубки', 'бросают', 'работники', 'администрации', 'жилконторы', 'телефону', 'перекладывают', 'друг', 'друга', 'вину', 'конце', 'января', '1', 'раз', 'проехал', 'трактор', 'типо', 'почистил', 'наши', 'соседями', 'жалобы', 'через', '004', 'проехал', '2', 'раза', 'посыпал', 'песком', 'фото', 'видно', 'что', 'гололед', 'море', 'куда', 'обращаться', 'что', 'делать']","['авангардный', 'твориться', 'жесть', 'левый', 'пойти', 'скользко', 'упасть', 'право', 'плавь', 'прямо', 'всегда', 'можно', 'пройти', 'газон', 'парковать', 'машина', 'гибдд', 'отписываться', 'они', 'наш', 'любимый', 'говорить', 'есть', 'специально', 'обученный', 'человек', 'который', 'ходить', 'фиксировать', 'нарушение', 'где', 'они', 'где', 'обещать', 'уборка', 'тело', '004', 'хамить', 'трубка', 'бросать', 'работник', 'жилконтора', 'телефон', 'перекладывать', 'друг', 'друг', 'вина', 'конец', 'январь', 'раз', 'проехать', 'трактор', 'типо', 'почистить', 'наш', 'сосед', 'жалоба', 'через', '004', 'проехать', 'раз', 'посыпать', 'песок', 'фото', 'видно', 'гололёд', 'море', 'куда', 'обращаться', 'делать']",авангардный твориться жесть левый пойти скользко упасть право плавь прямо всегда можно пройти газон парковать машина гибдд отписываться они наш любимый говорить есть специально обученный человек который ходить фиксировать нарушение где они где обещать уборка тело 004 хамить трубка бросать работник жилконтора телефон перекладывать друг друг вина конец январь раз проехать трактор типо почистить наш сосед жалоба через 004 проехать раз посыпать песок фото видно гололёд море куда обращаться делать,685,0.3,False,2022-02-23,конце января 1,Дороги,Текст,Дата создания,,Направление
